"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Gm27247"	1.78090910902784e-127	0.818431817780135	0.278	0.029	4.52404340966342e-123	"E5Parm1"	"Gm27247"
"Fam19a1"	2.0132544016938e-123	1.12371114819942	0.959	0.534	5.11427015662275e-119	"E5Parm1"	"Fam19a1"
"Cacna1h"	3.54877540362716e-116	0.764786326010304	0.27	0.03	9.01495415783408e-112	"E5Parm1"	"Cacna1h"
"Parm1"	1.01766826689285e-108	0.699078582309861	0.267	0.031	2.58518269838792e-104	"E5Parm1"	"Parm1"
"Pex5l"	3.21951076932331e-101	1.02430127524351	0.919	0.556	8.17852320731201e-97	"E5Parm1"	"Pex5l"
"Pcsk5"	1.97707281600799e-99	0.908338903994155	0.426	0.084	5.02235807450509e-95	"E5Parm1"	"Pcsk5"
"Kcnn2"	7.57668480673677e-99	0.944033151031568	0.606	0.164	1.92470524145534e-94	"E5Parm1"	"Kcnn2"
"Hcn1"	4.51586464005078e-97	1.12066356403243	0.791	0.336	1.1471650945121e-92	"E5Parm1"	"Hcn1"
"Coro6"	1.57516358661892e-93	0.893699209981603	0.348	0.06	4.00138805908804e-89	"E5Parm1"	"Coro6"
"Tcerg1l"	1.63620810219864e-92	0.578367221449328	0.18	0.016	4.15645944201521e-88	"E5Parm1"	"Tcerg1l"
"Rab3c"	8.11257264493816e-84	0.934809865338109	0.577	0.169	2.06083682899364e-79	"E5Parm1"	"Rab3c"
"Bcl11b"	1.14991035769775e-83	0.683667698225381	0.284	0.044	2.92111728165959e-79	"E5Parm1"	"Bcl11b"
"Meg3"	3.86286974357831e-77	0.403073500882767	1	0.972	9.81284800961197e-73	"E5Parm1"	"Meg3"
"Ryr3"	9.94866517984762e-76	0.882617467368251	0.649	0.226	2.52725941563669e-71	"E5Parm1"	"Ryr3"
"6430573F11Rik"	2.37156575960618e-75	0.440554938260145	0.154	0.015	6.02448849912759e-71	"E5Parm1"	"6430573F11Rik"
"Trpc4"	6.77042163300798e-72	0.693594447132622	0.365	0.079	1.71989020743302e-67	"E5Parm1"	"Trpc4"
"Grik2"	4.32327388127247e-67	0.813508902361117	0.838	0.468	1.09824126405965e-62	"E5Parm1"	"Grik2"
"Fezf2"	2.22210380510885e-65	0.582003045292864	0.188	0.025	5.64481029611801e-61	"E5Parm1"	"Fezf2"
"Dab1"	4.87254357607468e-63	0.70067564712855	0.928	0.624	1.23777224463025e-58	"E5Parm1"	"Dab1"
"Sorcs11"	7.13842171675203e-63	0.85663993792311	0.728	0.323	1.81337326870652e-58	"E5Parm1"	"Sorcs1"
"Chst8"	2.72948782335929e-61	0.402185184263849	0.13	0.013	6.93371791767961e-57	"E5Parm1"	"Chst8"
"Clcn2"	2.5857335649053e-60	0.763557862488207	0.449	0.13	6.56853897492893e-56	"E5Parm1"	"Clcn2"
"Sgcz"	6.69142874796844e-60	0.651569325552577	0.942	0.687	1.69982364484642e-55	"E5Parm1"	"Sgcz"
"Slc26a4"	1.11348709168235e-58	0.563464662451726	0.177	0.025	2.82859125900068e-54	"E5Parm1"	"Slc26a4"
"Nrp1"	1.6693598074724e-58	0.637739217705716	0.406	0.108	4.24067471892214e-54	"E5Parm1"	"Nrp1"
"Ntng1"	1.16075205854202e-57	0.755408838548148	0.455	0.138	2.9486584543143e-53	"E5Parm1"	"Ntng1"
"Cntn6"	4.45823350758011e-57	0.817198655936721	0.487	0.159	1.13252505793058e-52	"E5Parm1"	"Cntn6"
"Npr3"	4.70226047983158e-57	0.410602727441733	0.128	0.013	1.19451522969162e-52	"E5Parm1"	"Npr3"
"Robo1"	8.4585298633125e-56	0.771717058188137	0.446	0.138	2.14872034117728e-51	"E5Parm1"	"Robo1"
"Rasgrf1"	1.76318375893634e-55	0.720443667378525	0.777	0.373	4.479015702826e-51	"E5Parm1"	"Rasgrf1"
"Gm6260"	5.33580704499154e-55	0.371760843777288	0.101	0.009	1.3554550636392e-50	"E5Parm1"	"Gm6260"
"Fam126a"	6.30757422761343e-55	0.586585663592894	0.183	0.028	1.60231308104064e-50	"E5Parm1"	"Fam126a"
"Tmem150c"	1.06491171593974e-54	0.58133533429714	0.188	0.03	2.70519523200171e-50	"E5Parm1"	"Tmem150c"
"Nav1"	3.01638000827965e-54	0.705096810747406	0.594	0.228	7.66251013503279e-50	"E5Parm1"	"Nav1"
"Lrrtm4"	8.22570029086807e-52	0.625370082617757	0.971	0.809	2.08957464488922e-47	"E5Parm1"	"Lrrtm4"
"Sulf2"	2.2292823319802e-51	0.551694824063619	0.281	0.064	5.6630459079293e-47	"E5Parm1"	"Sulf2"
"Ndst3"	5.94555014178315e-51	0.761628130086348	0.504	0.182	1.51034810251717e-46	"E5Parm1"	"Ndst3"
"Ctnna2"	1.03087150951972e-50	0.574857560001125	0.939	0.762	2.61872289563296e-46	"E5Parm1"	"Ctnna2"
"Raver2"	1.31898236835994e-50	0.535262618002292	0.197	0.035	3.35061091034477e-46	"E5Parm1"	"Raver2"
"Htr1f"	1.27238504575421e-49	0.700274041029123	0.545	0.203	3.23223973172943e-45	"E5Parm1"	"Htr1f"
"Vat1l"	1.64245238036974e-49	0.407997048251707	0.148	0.021	4.17232178185326e-45	"E5Parm1"	"Vat1l"
"Dscaml1"	1.65176715362056e-49	0.654642772993665	0.513	0.182	4.1959841003423e-45	"E5Parm1"	"Dscaml1"
"Galnt9"	3.30585800855354e-49	0.618362236255924	0.377	0.108	8.39787109912855e-45	"E5Parm1"	"Galnt9"
"Pbx3"	7.80326038981227e-49	0.499552888502062	0.157	0.023	1.98226223682401e-44	"E5Parm1"	"Pbx3"
"Adam18"	8.65977921571345e-48	0.433173451143231	0.119	0.014	2.19984371416769e-43	"E5Parm1"	"Adam18"
"Tmem163"	5.4868200748758e-47	0.430568493122344	0.18	0.031	1.3938169036207e-42	"E5Parm1"	"Tmem163"
"Reln"	1.36743521590421e-44	0.435692352485282	0.261	0.062	3.47369567896147e-40	"E5Parm1"	"Reln"
